hugo_name hugo_id
TCFL5 HGNC:11646
TEF HGNC:11722
TERF2 HGNC:11729
TET1 HGNC:29484
TFAP2A HGNC:11742
TFAP2B HGNC:11743
TFAP2C HGNC:11744
TFAP2D HGNC:15581
TFAP2E HGNC:30774
TFAP4 HGNC:11745
TFE3 HGNC:11752
TFEB HGNC:11753
TFEC HGNC:11754
TGIF1 HGNC:11776
TGIF2 HGNC:15764
TGIF2LX HGNC:18570
TGIF2LY HGNC:18569
TWIST1 HGNC:12428
TWIST2 HGNC:20670
UNCX HGNC:33194
USF1 HGNC:12593
USF2 HGNC:12594
VAX1 HGNC:12660
VAX2 HGNC:12661
VENTX HGNC:13639
VSX1 HGNC:12723
VSX2 HGNC:1975
WT1 HGNC:12796
XBP1 HGNC:12801
YBX1 HGNC:8014
YBX2 HGNC:17948
YBX3 HGNC:2428
ZBTB1 HGNC:20259
ZBTB3 HGNC:22918
ZBTB7B HGNC:18668
ZBTB12 HGNC:19066
ZBTB14 HGNC:12860
ZFHX2 HGNC:20152
ZFHX3 HGNC:777
ZFX HGNC:12869
ZFY HGNC:12870
ZHX1 HGNC:12871
ZIC1 HGNC:12872
ZIC2 HGNC:12873
ZIC3 HGNC:12874
ZIC4 HGNC:20393
ZIC5 HGNC:20322
ZNF8 HGNC:13154
ZNF24 HGNC:13032
ZNF35 HGNC:13099
ZNF148 HGNC:12933
ZNF200 HGNC:12993
ZNF202 HGNC:12994
ZNF263 HGNC:13056
ZNF281 HGNC:13075
ZNF655 HGNC:30899
ZNF691 HGNC:28028
ZNF740 HGNC:27465
